002001  新闻    002001001   时政
002001  新闻    002001002   本地
002001  新闻    002001003   理财
002001  新闻    002001004   娱乐八卦
002002  休闲    002002001   八卦
002002  休闲    002002002   笑话/段子
002003  女人    002003001   情感
002003  女人    002003002   美女图片
002004  母婴
002005  汽车    002005001   汽车资讯
002005  汽车    002005002   汽车图片
002005  汽车    002005003   评测导购
002005  汽车    002005004   汽车养护
002006  数码
002007  体育
002008  互联网
002009  科技
002010  美食    002010001   生活百科
002010  美食    002010002   养生
002010  美食    002010003   食品安全
002010  美食    002010004   厨房
002014  阅读
002015  TV      002015001   影评
002015  TV      002015002   电影资讯
002015  TV      002015003   电视资讯
002016  医疗
002017  财经
002018  旅游
002019  游戏    002019001   美图
002020  军事
002021  房产    002021001   楼市资讯
002021  房产    002021002   房产资讯
002022  娱乐
002023  视频
002024  音频
002025  购物经验
002026  健康    002026001   两性健康
002027  TV      002027001   电视资讯
001001  珠宝    001001001   珠宝    50011397
001001  珠宝    001001002   饰品    50468001
001001  珠宝    001001002   饰品    50023878
001001  珠宝    001001002   饰品    28
001001  珠宝    001001003   配饰    50013864
001001  珠宝    001001003   配饰    50010404
001002  运动    001002001   运动鞋  50012029
001002  运动    001002002   运动配件    50510002
001002  运动    001002003   运动服  50011699
001002  运动    001002004   健身    50010728
001002  运动    001002005   户外    50013886
001003  虚拟    001003001   游戏    99
001003  虚拟    001003001   游戏    50016891
001003  虚拟    001003001   游戏    50011665
001003  虚拟    001003002   腾讯    40
001003  虚拟    001003003   理财    50016350
001003  虚拟    001003003   理财    120950001
001003  虚拟    001003004   话费    50008907
001003  虚拟    001003004   话费    50004958
001003  虚拟    001003005   服务    50014811
001004  文娱    001004001   书籍    50802001
001004  文娱    001004001   书籍    33
001004  文娱    001004002   宠物    29
001005  数码    001005001   相机    14
001005  数码    001005002   数码配件    50011972
001005  数码    001005002   数码配件    50008090
001005  数码    001005003   手机    50023904
001005  数码    001005004   电玩MP3 20
001005  数码    001005005   电脑硬件    50018264
001005  数码    001005006   数码配件    11
001005  数码    001005006   数码配件    50012164
001005  数码    001005007   办公用品    50007218
001006  食品    001006001   零食    50002766
001006  食品    001006002   粮油米面    50024612
001006  食品    001006002   粮油米面    50024451
001006  食品    001006002   粮油米面    50050359
001006  食品    001006002   粮油米面    50016422
001006  食品    001006003   酒类    50008141
001006  食品    001006004   冲饮    50026316
001006  食品    001006005   保健    50020275
001006  食品    001006005   保健    50026800
001007  汽车    001007001   汽车用品    26
001007  汽车    001007002   摩托    50074001
001008  母婴    001008001   早教玩具    50018004
001008  母婴    001008001   早教玩具    34
001008  母婴    001008002   孕妇用品    50022517
001008  母婴    001008003   婴儿用品    50008165
001008  母婴    001008003   婴儿用品    50014812
001008  母婴    001008003   婴儿用品    25
001008  母婴    001008003   婴儿食品    35
001009  家居    001009001   五金    50020332
001009  家居    001009001   五金    50020579
001009  家居    001009002   住宅家具    50008163
001009  家居    001009002   住宅家具    50008164
001009  家居    001009003   特色工艺    23
001009  家居    001009004   建材    27
001009  家居    001009005   家装用品    50020808
001009  家居    001009006   家饰    50020857
001009  家居    001009006   家饰    50007216
001009  家居    001009007   电子电工    50020485
001009  家居    001009008   办公家具    50020611
001010  美妆    001010001   美发    50023282
001010  美妆    001010002   护肤    1801
001010  美妆    001010003   彩妆    50010788
001011  家电    001011001   生活电器    50012100
001011  家电    001011002   大家电  50022703
001011  家电    001011003   厨房电器    50012082
001012  服饰    001012001   箱包    50006842
001012  服饰    001012002   女装    1625
001012  服饰    001012003   女鞋    50006843
001012  服饰    001012004   男鞋    50011740
001012  服饰    001012005   服饰    16
001012  服饰    001012005   服饰    30
001013  本地生活    001013001   娱乐    50025110
001013  本地生活    001013002   外卖    50690010
001013  本地生活    001013003   生活服务    50018252
001013  本地生活    001013003   生活服务    50026523
001013  本地生活    001013004   摄影    50050471
001013  本地生活    001013005   超市卡  50019095
001013  本地生活    001013006   娱乐    50026555
001014  百货    001014001   收纳清洗    50016348
001014  百货    001014002   乐器    50017300
001014  百货    001014003   个人清洁    50025705
001014  百货    001014004   居家日用    21
001014  百货    001014004   居家日用    50002768
001014  百货    001014005   厨房用具    50016349
001014  百货    001014006   成人    2813
