002101  新闻    002101001   娱乐八卦
002101  新闻    002101002   国内新闻
002101  新闻    002101003   国外新闻
002101  新闻    002101004   本地新闻
002102  女人    002102001   时尚
002102  女人    002102002   美容
002102  女人    002102003   美女图片
002102  女人    002102004   情感
002102  女人    002102005   星座
002102  女人    002102006   街拍
002103  房产    002103001   房产新闻
002103  房产    002103002   房产问答
002103  房产    002103003   楼市资讯
002104  母婴    002104001   宝贝用品
002104  母婴    002104002   妈妈装
002104  母婴    002104003   宝贝服饰
002104  母婴    002104004   宝贝食品
002104  母婴    002104005   宝贝玩具
002104  母婴    002104006   妈妈百货
002105  旅游    002105001   国内旅游攻略
002105  旅游    002105002   国外旅游攻略
002106  体育    002106001   篮球
002106  体育    002106002   足球
002106  体育    002106003   网球
002106  体育    002106004   其它类运动
002107  厨房    002107001   厨房百科
002107  厨房    002107002   食品安全
002107  厨房    002107003   厨房电器评测
002108  数码    002108001   数码评测
002108  数码    002108002   汽车图片
002108  数码    002108003   数码资讯
002109  汽车    002109001   汽车评测导购
002109  汽车    002109002   汽车养护
002109  汽车    002109003   汽车资讯
002110  理财    002110001   财经新闻
002110  理财    002110002   股票
002110  理财    002110003   其他理财
002111  健康    002111001   瘦身
002111  健康    002111002   两性健康
002111  健康    002111003   养生
002112  阅读    002112001   科普文章
002112  阅读    002112002   书评
002113  TV      002113001   电影资讯
002113  TV      002113002   电视资讯
002113  TV      002113003   影评
002114  段子    002114001   图片段子
002114  段子    002114002   文字段子
002115  游戏    002115001   游戏美图
002115  游戏    002115002   攻略评测
002115  游戏    002115003   游戏资讯
001001  珠宝    001001001   珠宝    50011397
001001  珠宝    001001002   饰品    50468001
001001  珠宝    001001002   饰品    50023878
001001  珠宝    001001002   饰品    28
001001  珠宝    001001003   配饰    50013864
001001  珠宝    001001003   配饰    50010404
001002  运动    001002001   运动鞋  50012029
001002  运动    001002002   运动配件    50510002
001002  运动    001002003   运动服  50011699
001002  运动    001002004   健身    50010728
001002  运动    001002005   户外    50013886
001003  虚拟    001003001   游戏    99
001003  虚拟    001003001   游戏    50016891
001003  虚拟    001003001   游戏    50011665
001003  虚拟    001003002   腾讯    40
001003  虚拟    001003003   理财    50016350
001003  虚拟    001003003   理财    120950001
001003  虚拟    001003004   话费    50008907
001003  虚拟    001003004   话费    50004958
001003  虚拟    001003005   服务    50014811
001004  文娱    001004001   书籍    50802001
001004  文娱    001004001   书籍    33
001004  文娱    001004002   宠物    29
001005  数码    001005001   相机    14
001005  数码    001005002   数码配件    50011972
001005  数码    001005002   数码配件    50008090
001005  数码    001005003   手机    50023904
001005  数码    001005004   电玩MP3 20
001005  数码    001005005   电脑硬件    50018264
001005  数码    001005006   数码配件    11
001005  数码    001005006   数码配件    50012164
001005  数码    001005007   办公用品    50007218
001006  食品    001006001   零食    50002766
001006  食品    001006002   粮油米面    50024612
001006  食品    001006002   粮油米面    50024451
001006  食品    001006002   粮油米面    50050359
001006  食品    001006002   粮油米面    50016422
001006  食品    001006003   酒类    50008141
001006  食品    001006004   冲饮    50026316
001006  食品    001006005   保健    50020275
001006  食品    001006005   保健    50026800
001007  汽车    001007001   汽车用品    26
001007  汽车    001007002   摩托    50074001
001008  母婴    001008001   早教玩具    50018004
001008  母婴    001008001   早教玩具    34
001008  母婴    001008002   孕妇用品    50022517
001008  母婴    001008003   婴儿用品    50008165
001008  母婴    001008003   婴儿用品    50014812
001008  母婴    001008003   婴儿用品    25
001008  母婴    001008003   婴儿食品    35
001009  家居    001009001   五金    50020332
001009  家居    001009001   五金    50020579
001009  家居    001009002   住宅家具    50008163
001009  家居    001009002   住宅家具    50008164
001009  家居    001009003   特色工艺    23
001009  家居    001009004   建材    27
001009  家居    001009005   家装用品    50020808
001009  家居    001009006   家饰    50020857
001009  家居    001009006   家饰    50007216
001009  家居    001009007   电子电工    50020485
001009  家居    001009008   办公家具    50020611
001010  美妆    001010001   美发    50023282
001010  美妆    001010002   护肤    1801
001010  美妆    001010003   彩妆    50010788
001011  家电    001011001   生活电器    50012100
001011  家电    001011002   大家电  50022703
001011  家电    001011003   厨房电器    50012082
001012  服饰    001012001   箱包    50006842
001012  服饰    001012002   女装    1625
001012  服饰    001012003   女鞋    50006843
001012  服饰    001012004   男鞋    50011740
001012  服饰    001012005   男装    16
001012  服饰    001012005   服饰    30
001012  服饰    001012006   成人
001012  服饰    001012007   女包
001013  本地生活    001013001   娱乐    50025110
001013  本地生活    001013002   外卖    50690010
001013  本地生活    001013003   生活服务    50018252
001013  本地生活    001013003   生活服务    50026523
001013  本地生活    001013004   摄影    50050471
001013  本地生活    001013005   超市卡  50019095
001013  本地生活    001013006   娱乐    50026555
001013  本地生活    001013007   白菜    50026555
001014  百货    001014001   收纳清洗    50016348
001014  百货    001014002   乐器    50017300
001014  百货    001014003   个人清洁    50025705
001014  百货    001014004   居家日用    21
001014  百货    001014004   居家日用    50002768
001014  百货    001014005   厨房用具    50016349
001014  百货    001014006   成人    2813
