2012来了,https://movie.douban.com/subject/6974521/,2012来了,,2012,https://img3.doubanio.com/view/photo/photo/public/p1313144375.jpg,邢潇,邢潇/公里,田中千绘/黄又南/黄小蕾/胡明/戎祥/李菁/李承炫,剧情/喜剧,,中国大陆,汉语普通话,2011-12-31(中国大陆),100分钟,Love Shock,http://www.imdb.com/title/tt2473462,3.5,1322,1.6%,2.0%,18.3%,27.5%,50.6%,0% 喜剧片,现在是2011年，距离传说中的2012时日无多，虽然大部分人的生活并未发生变化，但是总有人因不同的原因从玛雅人的预言中预感到了什么……单身女青年慧子（田中千绘 饰）是个在日本长大的中国人，她最近的设计工作颇不如意，又受周围朋友影响，渐渐愈发确认2012蕴含非凡的意义。因手头拮据，慧子只得和朋友介绍来的男租客关键（黄又南 饰）共处一户，关键虽对慧子青睐有加，但后者拒人千里之外的态度令关键唯有默默承受。这天，慧子突然一反常态邀请关键吃饭，原来真实意图是要后者帮助自己完成一系列“末日愿望计划”，正当关键与慧子的关系取得突破，一个男人突然出现……,,50,不要迷恋姐/开心大冒险/神通乡巴佬/光棍终结者/结婚狂想曲/哭笑不得/神马都是浮云/缘来是咱俩/乐翻天/双人床条约,554,烂片/喜剧/中国/2012/爱情/2011/搞笑/大陆,35,1565,245,0,8,4,
梦宅诡影,https://movie.douban.com/subject/3818565/,梦宅诡影,梦宅诡影DreamHouse,2012,https://img3.doubanio.com/view/photo/photo/public/p1368083850.jpg,吉姆·谢里丹,David Lucas,丹尼尔·克雷格/蕾切尔·薇兹/娜奥米·沃茨/马尔顿·索克斯/泰勒·吉蕾/蕾切尔·福克斯/林恩·格里芬/简·亚历山大/莎拉·加顿,剧情/悬疑/惊悚,http://www.dreamhousemovie.net/,美国,英语,2011-12-29(中国大陆)/2011-09-30(美国),92分钟,凶宅藏私(港) / 灵异豪宅(台) / 梦宅,http://www.imdb.com/title/tt1462041,6.3,8955,6.6%,22.5%,51.4%,16.7%,2.8%,28% 悬疑片/31% 惊悚片,在一个飘雪的季节，小有成就的出版人威尔·艾藤森（丹尼尔·克雷格 Daniel Craig 饰）辞去工作，带着妻子莉比（瑞切尔·薇兹 Rachel Weisz 饰）和一双可爱的女儿离开喧嚣的纽约市，来到安静的新英格兰镇展开新的生活。新的环境，新的磨合，表情冷淡甚至露着敌意目光的邻居，化着浓重哥特妆容不请自来的小青年，都令维尔的的幸福显得那么脆弱不堪。与此同时，女儿们似乎也受到神秘诡异的事物所侵扰。随着奇怪的事情不断涌现，艾藤森夫妇渐渐察觉他们的房子当年曾经发生过凶杀案。,,107,街尾之宅/幻影追凶/死魂盒/黑衣女人/黑夜勿怕/飞蛾日记/觉醒/太平间闹鬼事件2：佐治亚鬼屋.../恐怖神棍节/猛鬼生日宴,3634,悬疑/惊悚/美国电影/2011/恐怖/心理/温情/剧情,192,10899,3063,1,85,15,
龙门飞甲,https://movie.douban.com/subject/4896304/,龙门飞甲,龙门飞甲,2012,https://img3.doubanio.com/view/photo/photo/public/p1311653469.jpg,徐克,徐克/何冀平/朱雅欐,李连杰/周迅/陈坤/李宇春/桂纶镁/范晓萱/樊少皇/杜奕衡/刘家辉/张馨予/盛鉴,动作/武侠/古装,http://longmenfeijia.ent.sina.com.cn/main.html,中国大陆 / 香港,汉语普通话,2011-12-15(中国大陆),120分钟,The Flying Swords of Dragon Gate,http://www.imdb.com/title/tt1686784,6.7,161306,9.6%,32.0%,45.3%,10.4%,2.6%,35% 武侠片/49% 动作片,明朝成化年间，朝纲腐败，奸邪当道。西厂东厂为宦官把持，混淆黑白，陷害忠良，朝野内外噤若寒蝉。时有赵怀安（李连杰 饰）等流亡剑客挺身而出，接连铲除东厂数名奸佞，致令阉贼胆战心惊。适值此时，风头正劲的西厂督主雨化田（陈坤 饰）出面干预。另一方面，宫女素慧容（范晓萱 饰）怀有身孕，绝命奔逃。被雨化田的爪牙追捕途中幸得神秘侠客凌雁秋（周迅 饰）相救。二人一路辗转逃往关外，来到曾经引起过腥风血雨的龙门客栈落脚。龙门客栈一如往昔，为凶险异常之所在。雨化田手下追赶至此，与先前而至的鞑靼商队剑拔弩张，关键时刻更有与雨化田长相极其相似的卜仓舟（陈坤 饰）与女侠客顾少棠（李宇春 饰）投宿客栈。不久，赵怀安一众也偷偷潜至龙门。,18,583,狄仁杰之通天帝国/武侠/十月围城/窃听风云2/黄金大劫案/画皮/西游降魔篇/十二生肖/碟中谍4/剑雨,71562,徐克/武侠/陈坤/周迅/李连杰/桂纶镁/李宇春/香港,1495,195607,9602,3,1825,249,
极速天使,https://movie.douban.com/subject/5256418/,极速天使,极速天使,2012,https://img3.doubanio.com/view/photo/photo/public/p1516386736.jpg,马楚成,马楚成/陈舒,汤唯/刘若英/林志颖/韩在硕/张柏芝/姜武/田中千绘/郑佩佩/北村一辉/程伊/何炅,剧情/动作,,中国大陆 / 香港,汉语普通话,2011-12-27(中国大陆),117分钟,流光速 / Speed Angels,http://www.imdb.com/title/tt2118727,5.1,20657,2.9%,9.1%,41.9%,32.9%,13.2%,2% 剧情片/7% 动作片,一年前，出色车手韩冰（刘若英 饰）因未婚夫背弃自己、选择和她在流光速车队的搭档游镁（张柏芝 饰）牵手而遭受精神打击。如今，流光速车队教练高峰（韩宰硕 饰）再次找到沉溺于酒精的韩冰，邀请她参加亚洲巾帼杯大赛，并带来了出租车司机出身的新队员小依（汤唯 饰）。小依因心理紧张而迟迟不能进入状态，此时游镁归队与韩冰再度搭档。流光速车队的老对手樱冥殿车队在韩冰昔日未婚夫鬼冢的主持下高调登场，并将游镁招致麾下以致流光速再无寻找队员的时间。流光速只剩推出韩冰和小依搭档的唯一选择，而小依却又车祸受伤，流光速如何突破重重阻碍重现辉煌？,,151,杨门女将之军令如山/八星抱喜/倾城之泪/亲密敌人/大内密探灵灵狗/龙凤店/画壁/大武生/倩女幽魂/河东狮吼2,8738,赛车/香港/爱情/2011/烂片/励志/剧情/动作,207,26735,2760,0,104,36,
亲密敌人,https://movie.douban.com/subject/6062731/,亲密敌人,亲密敌人,2012,https://img3.doubanio.com/view/photo/photo/public/p1328956552.jpg,徐静蕾,王芸/赵梦/刘力扬/徐静蕾,徐静蕾/黄立行/梁咏琪/钟丽缇/赵宝刚/王敏德/李治廷/刘仪伟/苏小明/李艾/林园/陈奂仁/尹子维,剧情/爱情,,中国大陆,汉语普通话 / 英语 / 粤语,2011-12-23(中国大陆),98分钟,Dear Enemy,http://www.imdb.com/title/tt2004211,5.7,54552,3.3%,14.9%,50.8%,24.3%,6.8%,11% 爱情片/5% 剧情片,某投资银行的经理戴瑞克李（黄立行 饰）正忙于对某锂矿企业进行收购，而他的前任女友艾米梁（徐静蕾 饰）此时也来到香港，以另一家投资银行副总经理的身份担任该锂矿企业的财务顾问，这对昔日情人即将在职场展开对决。戴瑞克的得力助手瑞贝卡（梁咏琪 饰）试图以好友身份劝说艾米退出，而热门金融博主亨利（李治廷 饰）发现了李、梁二人的过往，原来艾米因戴瑞克事业繁忙，绝少时间陪伴自己而赌气分手，不久却在戴瑞克的安排下，亦加入了投行领域。戴瑞克与艾米在飞往伦敦的航班上巧遇，为了从收购案中胜出，二人连番缠斗，而随着事情的发展，这对儿亲密敌人的关系再度变化……,,200,我愿意/全球热恋/倾城之泪/杜拉拉升职记/画壁/幸福额度/我知女人心/极速天使/隐婚男女/101次求婚,19189,徐静蕾/爱情/黄立行/职场/中国电影/2011/大陆/中国,428,68043,4193,0,315,46,
深度谜案,https://movie.douban.com/subject/1950192/,深度谜案,深度谜案TheOxfordMurders,2012,https://img3.doubanio.com/view/photo/photo/public/p779543829.jpg,阿莱克斯·德拉·伊格莱希亚,阿莱克斯·德拉·伊格莱希亚/豪尔赫·格力加耶切瓦利亚,伊利亚·伍德/约翰·赫特/蕾欧诺·瓦特林/朱莉·考科斯/吉姆·卡特/亚力克斯·考克斯/伯恩·戈曼/多米尼克·皮诺/安娜·玛西/丹尼·萨帕尼/艾伦·戴维/Tim Wallers/James Weber Brown/Ian East/Charlotte Asprey,悬疑/惊悚/犯罪,http://www.clubcultura.com/clubcine/clubcineastas/delaiglesia/oxford,西班牙 / 英国 / 法国,英语,2011-12-31(中国大陆)/2008-01-18(西班牙),108分钟,牛津谋杀案 / 牛津杀手 / 破案算式 / 牛津谜案,http://www.imdb.com/title/tt0488604,6.7,19061,7.9%,32.6%,49.3%,8.9%,1.2%,42% 悬疑片/36% 犯罪片,马丁（伊利亚•伍德 Elijah Wood 饰）为了追寻偶像逻辑数学家亚瑟（约翰•赫特 John Hurt 饰）的足迹，来到牛津大学深造。他发现，寄宿的房东伊格莱顿太太（安娜•玛西 Anna Massey 饰）仿佛跟亚瑟交往甚密，而她的养女贝丝（朱丽•考克斯 Julie Cox 饰）却总是故弄玄虚。后来，马丁结识了壁球伙伴洛娜（蕾欧诺•瓦特林 Leonor Watling 饰），两人堕入爱河……,,94,天使与魔鬼/破绽/十二宫/达·芬奇密码/神秘拼图/高度怀疑/决胜21点/布鲁克斯先生/影子写手/灵数23,5747,悬疑/西班牙/英国/犯罪/惊悚/牛津杀手/小说改编/西班牙电影,504,23788,8202,1,186,44,
神兵小将,https://movie.douban.com/subject/3012377/,神兵小将,神兵小将,2012,https://img3.doubanio.com/view/photo/photo/public/p1597570216.jpg,黄玉郎/方锦历/乔彧,方锦历,杨青倩/谢楠/常索妮/胡静/杨莹,动画/奇幻,,中国大陆,汉语普通话,2009-10-01(中国大陆),95分钟,SHENBING KIDS / 神兵小将：电影版,,4.6,367,7.0%,8.3%,26.8%,24.1%,33.8%,,千百年来，女娲与原始天魔分别代表着正义与邪恶，自女娲创造出人类那天起，正与邪的较量就从未停止过。为统治人类，天魔派出天地盟主将神兽魔化，攻下了玉龙国。南宫城主南宫逸差遣儿子南宫问天和女儿南宫问雅代表自己到民间帮助受难的众生。兄妹二人各有绝活，他们和玉灵龙一起与天地盟主展开了殊死搏斗。杀至你死我活之机，神兵兽兽破壳而出，演化为神兵天晶，他与问天兄妹、玉灵龙一起，决意打败天地盟主，救出身处险境的父亲。于是，他们一路收集神兵神兽，历经千难万险，向邪恶势力发起了进攻......,,1,生肖传奇之十二生肖总动员/神兵小将/天眼/小鲤鱼历险记/电击小子/蓝猫龙骑团/神厨小福贵/恐龙宝贝/象棋王/虹猫蓝兔七侠传,108,动画/中国/神兵小将/国产动画/2009/黄玉郎/中国动画/国产,,430,58,0,4,1,
双人床条约,https://movie.douban.com/subject/6849069/,双人床条约,双人床条约,2012,https://img3.doubanio.com/view/photo/photo/public/p1322526948.jpg,吴卫东,吴卫东,耿乐/刘威葳/王豪/郑佩佩/谢园/李彧/常蓝天/张恩齐/瞿颖,喜剧/爱情,,中国大陆,汉语普通话,2011-12-30(中国大陆),93分钟,The Treaty of Double Bed,,5.3,2191,2.2%,12.4%,44.8%,28.7%,11.9%,7% 喜剧片/7% 爱情片,人到中年的文艺男赵敬初（耿乐 饰）与妻子丁雪莉（刘威葳 饰）结婚十五年，曾经的激情早已消散，而丁父的死促使两人再度审视生命的意义。于是感到婚姻束缚的二人提出离婚，但为了顾全各方面影响，他们决定“隐离”，并立下“双人床合约”限定彼此后离婚时期的行为。赵敬初离婚的消息很快被好友泄露，于是一位执着中意赵敬初的平面模特向他发动了猛烈的攻势，赵敬初左挡右遮的同时，时刻又惦记丁雪莉和其他男人的感情生活。同时乖巧的女儿薇薇（张恩奇 饰）早已知晓父母的变化，于是利用影响学习为借口，百般促使父母和好。一系列经历后，赵敬初与丁雪莉重新发现了共同生活的真谛……,,104,2012来了/爱谁谁/光棍终结者/嫁个100分男人/终极匹配/巨额交易/擒爱记/结婚狂想曲/亲家过年/八星抱喜,799,喜剧/爱情/中国电影/耿乐/大陆/中国/2011/刘威葳,34,2783,278,0,34,5,
开心魔法,https://movie.douban.com/subject/6717575/,开心魔法,开心魔法,2012,https://img3.doubanio.com/view/photo/photo/public/p1309420639.jpg,叶伟信,黄子桓/陈大利,吴千语/黄百鸣/闫妮/吴尊/吴京/古天乐/松明/谈莉娜/i Me 组合/鲍起静,喜剧/奇幻,,中国大陆 / 香港,汉语普通话 / 粤语,2011-12-01(中国大陆),99分钟,Magic to Win / Happy Magic,http://www.imdb.com/title/tt2072164,4.3,8984,2.2%,4.7%,28.3%,36.9%,28.0%,3% 喜剧片/3% 奇幻片,在世界上，很多不可思议，无法解释的事情，其实是有原因的，因为世界上存在着一个由“金、木、水、火、土”五行构成的魔法世界，世界上存在着形形色色的魔法师。康森贵（黄百鸣 饰）虽然表面上是一名大学教授，实际上却是一名水系魔法师。一天，由于名为毕野武（吴京 饰）的火系魔法师想通 过收集五行魔法，回到过去，找到康森贵，想夺取他的法力。一场对战之后，却阴差阳错的，康森贵的魔法却被转移到了自己学生陈美斯（吴千语 饰）身上。随着毕野武不断挑战各系魔法师，他收集的五行能量就差美斯身上的水系能力和金系能量。美斯在凌枫（吴尊 饰）的帮助下，找出了金系魔法师查理（松明 饰）的所在，并一同前往准备保护查理免受毕野武的侵害。然而，当他们赶到时，毕野武突然出现在查理表演的舞台上，一场大决斗即将展开。,,158,东成西就2011/八星抱喜/神奇侠侣/无价之宝/大武当之天地密码/未来警察/嫁个100分男人/白蛇传说/画壁/嘻游记,3389,喜剧/香港/香港电影/吴尊/古天乐/2011/烂片/开心魔法,133,11022,563,0,63,17,
玩命狙击,https://movie.douban.com/subject/7056769/,玩命狙击,玩命狙击มายเบสท์บอดี้การ์ด,2012,https://img3.doubanio.com/view/photo/photo/public/p681736175.jpg,郭桂成/王卡劳,殷慧君/周红,余文乐/乌汶叻公主/查克利·彦纳姆/胡杰克/吴丽嫦,动作/犯罪,,泰国,汉语普通话 / 粤语 / 泰语 / 英语,2011-12-30(中国大陆)/2010-10-21(泰国),90分钟,我的最佳保镖 / Saving Project X / My Best Bodyguard,http://www.imdb.com/title/tt1772984,3.2,1771,0.6%,1.2%,14.1%,28.0%,56.2%,0% 动作片/0% 犯罪片,名记彩妮（乌汶叻公主 饰）不经意间发现一个惊天秘密，一家化工公司竟然拿活人做实验，研制一种新型致命病毒的抗体——x计划。记者的天职促使彩妮立即行动，她要营救这些无辜的受害者，伹她的行动马上被该公司总裁桑（余文乐 饰）盯上，他派人日夜盯梢，以期杀人灭口。国安局行动负责人阿杰（查克利·彦纳姆 饰）深知x计划的危害，他下令封锁消息，并将感染病毒的活体悉数找出、全部消灭。彩妮的父亲深知卷入此事的危险，他重金聘请顶尖杀手阿达保护女儿的人身安全。一项无意中发现的残忍实验把彩妮、阿杰和桑推入万劫不复的深渊，周围充满了死亡的气息，而环环相扣的陷阱使彩妮再不敢相信任何人......,,54,冲锋战警/赛车传奇/赤色危机/绝色武器/回马枪/无价之宝/神探·李奥/杨门女将之军令如山/蔡李佛拳/大武当之天地密码,915,余文乐/泰国/动作/泰国电影/烂片/香港/电影/2011,39,2170,346,0,21,5,
